NSPIS Agency,NSPIS,Model 1 Detail,Latitude,Longitude,NSPIS Street Address,Place,Postcode,Opening hours
QV Terrace Pharmacy,1711,Pharmacy,-37.810904,144.965833,"Shops 19-21, QV Terrace, 210 Lonsdale Street",MELBOURNE,3000,Mon-Fri 8am - 7pm; Sat 9am - 1pm
RDNS Ltd - Homeless Persons Program - Ozanam Community Centre - Abbotsford St,1693,Fixed Site,-37.800795,144.946225,268 Abbotsford Street,NORTH MELBOURNE,3051,Mon - Fri 9am to 2:30pm
Red Hill Pharmacy,1478,Pharmacy,-38.382499,145.023823,"Shop 7, Red Hill Village, 137 Shoreham Road",RED HILL,3937,M-F 9am-6pm; Sat 9am-1pm; Sun 10am-12pm
Regency Pharmacy,1656,Pharmacy,-37.729273,144.992105,130 Regent Street,PRESTON,3072,"M-F 8am-6pm, Sa-Su 9am-1pm"
Robinvale District Health Services,1342,Fixed Site,-34.584113,142.781005,Latje Road,ROBINVALE,3549,At the Centre between 8.30am and 5.00pm Monday to Friday.
Robinvale Pharmacy,1621,Pharmacy,-34.584456,142.771422,21 Perrin Street,ROBINVALE,3549,M-F 8:30am-6pm; Sat 8:30am-1pm; Sun 11am-12pm
Rocchis Pharmacy,1459,Pharmacy,-37.771798,144.998312,293 High Street,NORTHCOTE,3070,M-F 8.30am-7pm; Sat 8.30am-1pm
Rochester & Elmore District Health Service,1276,Fixed Site,-36.365814,144.697936,Pascoe Street,ROCHESTER,3561,9.00 am and 5.00 pm Monday to Friday
Ron Witney Pharmacy,1332,Pharmacy,-38.202905,145.232967,"Shop 2, Pearcedale Shopping Centre, Baxter-Tooradin Road",PEARCEDALE,3912,"9:00-6:00 M-F, 9:00-1:00 Sat"
Rosanna Pharmacy,1729,Pharmacy,-37.743194,145.064133,107 Lower Plenty Road,ROSANNA,3084,Mon - Fri 9am - 7pm; Sat 9am - 1pm; Sun 9am - 12pm
Roxburgh Park Pharmacy,1601,Pharmacy,-37.640496,144.931211,"Shop 2, Roxburgh Park Shopping Centre, 250 Somerton Rd",ROXBURGH PARK,3064,M-F 8:30am-9pm; Sat 9am-6pm; Sun 10am-5pm
Rushworth Pharmacy,1556,Pharmacy,-36.586197,145.015184,11 High Street,RUSHWORTH,3612,M-F 9am-5.30pm; Sat 9am-12.30pm
Rye Beach Pharmacy,1761,Pharmacy,-38.369328,144.85272,2345 Point Nepean Road,RYE,3941,Mon - Fri 8:30am - 6pm; Sat/Sun 9am - 5pm
Scriptrite Pharmacy,1759,Pharmacy,-37.764312,144.944084,56 Melville Road,BRUNSWICK WEST,3055,Mon - Fri 8am - 7pm; Sat 9am - 1pm; Sun/Public Hols CLOSED
Seaford Pharmacy,1503,Pharmacy,-38.102493,145.126257,115a Nepean Highway,SEAFORD,3198,M-F 9am-7pm; Sat 9am-5pm; Sun/Public Holidays 10am-1pm
Seymour Health - Acute Services,1197,Fixed Site,-37.017985,145.140082,Bretonneux Street,SEYMOUR,3660,"24 hours a day, 7 days a week"
Silverii Pharmacy,1200,Pharmacy,-37.779825,144.986525,333 St Georges Road,FITZROY NORTH,3068,M-F 9am-7pm; Sat 9am-5pm; Sun 9am-12pm
Silverton Pharmacy,1769,Pharmacy,-37.946409,145.191964,133 Jacksons Road,NOBLE PARK,3174,Mon - Fri 9am - 6:30pm; Sat 9am - 1:30pm; Sun & Public Hols CLOSED
Slade Pharmacy,1774,Pharmacy,-37.809292,144.982284,320 Victoria Parade,EAST MELBOURNE,3002,Mon - Fri: 8am - 6pm; Sat & Sun CLOSED
Solly Lew Pharmacy,1201,Pharmacy,-37.861649,144.974763,41 Fitzroy Street,ST KILDA,3182,Business Hours
Soul Pattinson Pharmacy - Geelong,1349,Pharmacy,-38.152483,144.361957,148 Myer Street,GEELONG,3220,Monday - Sunday 8.00am - midnight
Soulsby & Struth Pharmacy,1551,Pharmacy,-38.383936,142.483183,103 Liebig Street,WARRNAMBOOL,3280,M-F 9am-6pm; Sat & Sun 10am-4pm; public hols varies (call first)
South West Healthcare - Hospital Camperdown,1285,Fixed Site,-38.236754,143.137817,9 Robinson St,CAMPERDOWN,3260,At any time
South West Healthcare - Koroit Street,1283,Fixed Site,-38.379959,142.473078,279 Koroit Street,WARRNAMBOOL,3280,During hours of operation
South West Healthcare - Lismore,1281,Fixed Site,-37.95276,143.336647,102 High Street,LISMORE,3324,During hours of operation 9:00am-4:30pm Monday-Friday
South West Healthcare - Macarthur,1282,Fixed Site,-38.02956,141.997873,12 Ardonachie Street,MACARTHUR,3286,During hours of operation
South West Healthcare - Manifold Place,1280,Fixed Site,-38.23306,143.148574,"Manifold Place, 140 Manifold Street",CAMPERDOWN,3260,During hours of operation
South West Healthcare - Warrnambool and District Base Hospital,1231,Fixed Site,-38.379959,142.473078,Ryot Street,WARRNAMBOOL,3280,At the Hospital at any time
South Yarra Pharmacy,1431,Pharmacy,-37.838512,144.989248,81-83 Toorak Road,SOUTH YARRA,3141,7 days 9am-9pm
Southern Peninsula Community Support and Information Centre,1204,Fixed Site,-38.354307,144.908331,878 Point Nepean Road,ROSEBUD,3939,"M-W, F 9:30am-3:30pm; Th 9.30am-12:30pm"
Spencer Street Pharmacy,1448,Pharmacy,-37.816395,144.952607,"Shop 301, 201 Spencer Street",DOCKLANDS,3008,M-F 8am-8pm; Sat-Sun10am-6pm
Springvale Plaza Pharmacy,1354,Pharmacy,-37.961488,145.143441,3/800 Heatherton Road,SPRINGVALE SOUTH,3172,M-F 9am-8pm; Sat 8.30am-7.30pm; Sun & Pub Hols 10am-2pm
St Georges Road Pharmacy,1644,Pharmacy,-37.751855,144.994449,543 St Georges Road,THORNBURY,3071,"M-F 90am- 7pm, Sat 9am-2pm, Sun 10am-1pm"
St Helena Pharmacy,1710,Pharmacy,-37.684915,145.135878,"Shop 3, St Helena Marketplace, 214 Aqueduct Road, ST HELENA",ST HELENA,3088,Mon - Fri 8:30am - 9pm; Sat-Sun 9am - 9pm
St Leonards Pharmacy,1400,Pharmacy,-38.171351,144.717592,1374 Murradoc Road,ST LEONARDS,3223,M-F 9am-5.30pm; Sat 9am-1pm
Star Health Group - MhOS,1090,Vehicle Outreach,-37.864003,144.982224,10 Inkerman Road,ST KILDA,3182,"7:30pm - 11:30pm, 7 days"
Star Health Group - Mitford St,1115,Fixed Site,-37.871827,144.981828,18 Mitford Street,ST KILDA,3182,9:00am-5:00pm M-F
Star Health Group - Prahran,1113,Fixed Site,-37.847174,144.995118,240 Malvern Road,PRAHRAN,3181,"9am to 5pm, Monday to Friday."
Star Health Group - South Melbourne,1116,Fixed Site,-37.833236,144.956077,"Southport Centre, 341 Coventry Street",SOUTH MELBOURNE,3205,"9am to 5pm, Monday to Friday."
Star Pharmacy Kew,1456,Pharmacy,-37.807059,145.029652,157 High Street,KEW,3101,M-F 8.30am-9pm; Sat/Sun 9am-6pm
Stratford Pharmacy,1590,Pharmacy,-37.96696,147.080071,48 Tyres Street,STRATFORD,3862,M-F 9am-5:30pm; Sat 9am-12:30pm
Studfield Pharmacy,1433,Pharmacy,-37.859642,145.240664,203 Stud Road,WANTIRNA SOUTH,3152,M-F 9am-7pm; Sat 9am-4pm; Sun 10am-2pm
Sunbury CHC,1206,Fixed Site,-37.579344,144.733113,12-28 Macedon Street,SUNBURY,3429,"8.30am to 5pm, Monday to Friday"
Sunraysia CHS - Merbein,1208,Fixed Site,-34.166722,142.05819,36 Box Street,MERBEIN,3505,M-F 9am-5pm
Sunraysia CHS - Mildura,1207,Fixed Site,-34.303498,142.177178,137 Thirteenth Street,MILDURA,3500,"9am to 5pm, Monday to Friday"
Swan Hill District Health,1211,Fixed Site,-35.340123,143.556639,48 Splatt Street,SWAN HILL,3585,"24 hours, 7 days a week"
Tambassis Pharmacy,1328,Pharmacy,-37.776947,144.960648,32 Sydney Road,BRUNSWICK,3056,M-Sun 8am-12midnight (365 days)
TaskForce Community Agency,1215,Fixed Site,-37.932856,145.03597,421 South Road,BENTLEIGH,3204,M-F 9am-5pm
Tatura Pharmacy,1461,Pharmacy,-36.440008,145.228723,151 Hogan Street,TATURA,3616,M-F 9am-6pm; Sat 9am-12.30pm; Sun/Public Hols Closed
Terang and Mortlake Health Services - Mortlake,1278,Fixed Site,-38.082918,142.812777,Boundary Road,MORTLAKE,3272,24 hours per day 7 days per week
Terang and Mortlake Health Services - Terang CHC,1335,Fixed Site,-38.240039,142.916979,66 High Street,TERANG,3264,At the Centre between 8.30 am and 5.00 pm Monday to Friday.
Terang and Mortlake Health Services - Terang Hospital,1277,Fixed Site,-38.239208,142.902131,13 Austin Avenue,TERANG,3264,24 hours per day 7 days per week
Terry Batemans Pharmacy,1467,Pharmacy,-38.267365,145.013343,28 Lochiel Avenue,MOUNT MARTHA,3934,M-F 9am-6pm; Sat 9am-1pm; Sun & most Public Hols 9.30am-12.30pm
Terry White Chemists - Dandenong,1416,Pharmacy,-37.987321,145.217144,"Shop 70-71, Level 3, Dandenong Plaza Shopping Centre, Cnr Walker and McCrae Streets",DANDENONG,3175,M-W 9am-5.30pm; Th/Fr 9am-9pm; Sat 9am-5pm; Sun 10am-5pm
Terry White Chemists - Fountain Gate,1740,Pharmacy,-38.017693,145.303803,"Shop 2020, Fountain Gate Shop Centre, 352 Princes Highway",NARRE WARREN,3805,Mon - Wed 9am - 5:30pm; Thur - Fri 9am - 9pm; Sat 9am - 5pm; Sun 10am - 5pm
Terry White Chemists - Gladstone Park,1611,Pharmacy,-37.688932,144.884005,"Shop 104, Gladstone Park Shopping Centre, Gladstone Park Drive",GLADSTONE PARK,3043,M-Sun 8:30am-9pm
Terry White Chemists - Mentone,1598,Pharmacy,-37.982839,145.077086,"Shop 6, Thrift Park Shopping Centre, 171-187 Nepean Highway",MENTONE,3194,M-F 9am-6pm; Sat 9am-1pm
Terry White Chemists - South Melbourne,1606,Pharmacy,-37.832234,144.960319,"Shop G19-G20 , The Clarendon Centre, 265 Clarendon Street",SOUTH MELBOURNE,3205,M-W 8:30am-6:30pm; T-F 8:30am-7pm; Sat 9am-5:30pm; Sun 9am-5:30pm
Terry White Chemists - Wodonga,1484,Pharmacy,-36.121842,146.887852,127 High Street,WODONGA,3690,M-F 8.30am-7pm; Sat/Sun 9am-4pm; Public Hols 9am-2pm
The Royal Melbourne Hospital,1343,Fixed Site,-37.799323,144.956145,"Emergency Department, Grattan Street",ROYAL MELBOURNE HOSPITAL,3050,At the Centre between 9.00am and 5.00pm Monday to Friday.
The Salvation Army - Health Information Exchange,1106,Fixed Site,-37.860623,144.978031,29 Grey Street,ST KILDA,3182,"24 hours, 7days"
Timboon and District Health Care Service,1221,Fixed Site,-38.486257,142.977132,21 Hospital Road,TIMBOON,3268,"9am to 5pm, Monday to Friday"
Timboon Pharmacy,1620,Pharmacy,-38.484794,142.981228,"Shop 2, 15 Main Street",TIMBOON,3268,M-F 9am-5:30pm; Sat 10am-2pm
Tom Lane Pharmacy - The Pines,1765,Pharmacy,-37.76261,145.166932,"Shop 66, 181 Reynolds Road",DONCASTER EAST,3109,Mon - Wed 9am - 5:30pm; Thur 9am - 7pm; Fri 9am - 8pm; Sat 9am - 5pm; Sun/Pub Hols 10am - 5pm; CLOSED Good Friday & Christmas
Tongala Pharmacy,1564,Pharmacy,-36.25177,144.95282,46 Mangan Street,TONGALA,3621,M-F 9am-5.30pm; Sat 9am-12pm
Trafalgar Pharmacy,1523,Pharmacy,-38.208233,146.1544,75 Princes Highway,TRAFALGAR,3824,M-F 9am-5.30pm; Sat 9am-12noon
Tyabb Pharmacy,1483,Pharmacy,-38.260965,145.189491,1560 Frankston-Flinders Road,TYABB,3913,M-F 9am-6pm; Sat 9am-1pm
UFS Dispensaries Ltd - Bacchus Marsh,1542,Pharmacy,-37.677097,144.434751,25-27 Grant Street,BACCHUS MARSH,3340,M-F 8.30am-8.30pm; Sat 9am-1pm; Sun 10am-1pm
UFS Dispensaries Ltd - Bakery Hill,1535,Pharmacy,-37.562059,143.867649,69 Victoria Street,BAKERY HILL,3350,M-F 9am-5.30pm; Sat 9am-12noon
UFS Dispensaries Ltd - Ballan,1538,Pharmacy,-37.600367,144.226057,129 Inglis Street,BALLAN,3342,M-F 9am-5.30pm; Sat 9am-1pm
UFS Dispensaries Ltd - Ballarat,1534,Pharmacy,-37.562503,143.862292,40 Bridge Mall,BALLARAT,3350,M-F 9am-6pm; Sat 9am-4pm
UFS Dispensaries Ltd - Ballarat Doveton Street,1704,Pharmacy,-37.55671,143.856062,202 Doveton Street,BALLARAT,3350,M-Th 9am-7pm; F 9am-6pm; Sa 9am-2pm; Su Closed
UFS Dispensaries Ltd - Ballarat Sturt St,1635,Pharmacy,-37.561374,143.849724,717 Sturt Street,BALLARAT,3350,M-F 8am-8pm; Sat 9am-5pm; Sun 9am-5pm
UFS Dispensaries Ltd - Beaufort,1533,Pharmacy,-37.429389,143.382568,62-64 Neill Street,BEAUFORT,3373,M-F 9am-5.30pm; Sat 9am-12.30pm
UFS Dispensaries Ltd - Buninyong,1543,Pharmacy,-37.650144,143.884816,316 Learmonth Street,BUNINYONG,3357,M-F 9am-6pm; Sat 9am-12noon
UFS Dispensaries Ltd - Delacombe,1532,Pharmacy,-37.571249,143.82538,830 Latrobe Street,DELACOMBE,3356,M-F 9am-5.30pm; Sat 9am-12pm
UFS Dispensaries Ltd - Eaglehawk,1454,Pharmacy,-36.760784,144.275115,50 High Street,EAGLEHAWK,3556,M-F 10am-5pm
UFS Dispensaries Ltd - Fairfield,1487,Pharmacy,-37.77673,145.018161,132 Station Street,FAIRFIELD,3078,M-F 9am-6pm; Sat 9am-2pm
UFS Dispensaries Ltd - Golden Point,1531,Pharmacy,-37.576237,143.868646,515 Main Road,GOLDEN POINT,3350,M-F 10am-6pm; Sat 10am-1pm
UFS Dispensaries Ltd - Melton,1537,Pharmacy,-37.6839,144.578688,415-429 High Street,MELTON,3337,M-F 9am-7pm; Sat 9am-3pm
UFS Dispensaries Ltd - Melton South,1536,Pharmacy,-37.702031,144.575036,"Melton Square Shopping Centre, 11 Station Road",MELTON SOUTH,3338,M-F 9am-8pm; Sat 9am-5pm; Sun 10am-2pm
UFS Dispensaries Ltd - Mount Clear,1530,Pharmacy,-37.602687,143.867927,"Shop 1, Midvale Shopping Centre, 1172 Geelong Road",MOUNT CLEAR,3350,M-F 9am-6pm; Sat 9am-1pm
UFS Dispensaries Ltd - Sebastopol,1528,Pharmacy,-37.586866,143.840656,56 Albert Street,SEBASTOPOL,3356,M-F 9am-5.30pm; Sat 9am-1pm
UFS Dispensaries Ltd - Tarneit,1654,Pharmacy,-37.845298,144.654891,937 - 941 Sayers Road,TARNEIT,3029,"M-F 9am-5.30pm, Sa 9am-1pm"
UFS Dispensaries Ltd - Wendouree,1529,Pharmacy,-37.540274,143.829952,1207 Howitt Street,WENDOUREE,3355,M-F 9am-5.30pm; Sat 9am-1pm
UFS Pharmacy - Coburg Village,1605,Pharmacy,-37.732689,144.951309,"Shop 8, 174 - 196 Gaffney Street",COBURG NORTH,3058,Mon - Wed 9am - 5:30pm; Thur - Fri 9am - 9pm; Sat 9am - 5pm; Sun 10am - 5pm
Union Health Pharmacy,1481,Pharmacy,-37.809229,144.963441,393 Swanston Street,MELBOURNE,3000,M-F 8am-6pm; Sat 10am-2pm
Uniting Ballarat,1758,Fixed Site,-37.564703,143.857512,105 Dana Street,BALLARAT,3350,Mon - Fri 9:00am - 5pm
Upper Beaconsfield Pharmacy,1506,Pharmacy,-38.003744,145.41036,53 Beaconsfield Emerald Road,BEACONSFIELD UPPER,3808,M-F 9am-6pm; Sat 9am-12.30pm
Upper Murray HCS,1225,Fixed Site,-36.198772,147.90333,16-20 Kiell Street,CORRYONG,3707,At the Centre at any time
Vicky Melissas Pharmacy,1385,Pharmacy,-37.928402,145.11599,"Shop 1, 1310 Centre Road",CLAYTON,3168,M-F 8.30am - 7pm; Sat 9am - 5pm; Sun 10am-2pm
Victorian AIDS Council - Gay Men's Health Centre,1226,Fixed Site,-37.838346,144.993809,6 Claremont Street,SOUTH YARRA,3141,"M-Th 9am-9pm, F 9am-5pm"
Vines Road Pharmacy,1643,Pharmacy,-38.120735,144.328492,99 Vines Road,HAMLYN HEIGHTS,3215,"M-F 9am-5:30pm, Sat 9am-12noon"
Warracknabeal Pharmacy,1513,Pharmacy,-36.250564,142.394758,106-108 Scott Street,WARRACKNABEAL,3393,M-F 9am-6pm; Sat 9am-12pm
Warren Ritchie Pharmacy,1426,Pharmacy,-38.183857,145.089177,"Shop 1, The Strand Village Centre, Mt Eliza Way",MOUNT ELIZA,3930,M-F 9am-6pm; Sat 9am-5pm; Sun 10am-1pm
Waterfall Gully Pharmacy,1465,Pharmacy,-38.376601,144.910883,79 Old Cape Schanck Road,ROSEBUD,3939,M-F 9am-6pm; Sat 9am-1pm; Closed Sunday
Watsonia Pharmacy,1442,Pharmacy,-37.710996,145.082464,45 Watsonia Road,WATSONIA,3087,9am-9pm every day
Wattle Care Pharmacy,1403,Pharmacy,-37.854388,145.052028,255 Burke Road,GLEN IRIS,3146,M-F 9am-6pm; Sat 9am-4pm
Weller & Barlow Pharmacy,1563,Pharmacy,-36.12741,144.750428,177 Annesley Street,ECHUCA,3564,M-F 9am-6pm; Sat 9am-1pm
Wellness Pharmacy,1597,Pharmacy,-37.897808,145.006161,143-145 Gardenvale Road,GARDENVALE,3185,"M-F 9am-8pm, Sat 9am-8pm; Sun 9am-8pm"
West Gippsland Health Care Group - Community Services Division,1236,Fixed Site,-38.161814,145.936124,"Needle & Syringe Program, 31-35 Gladstone Street",WARRAGUL,3820,"9am to 5.15pm, Monday to Friday"
West Gippsland Health Care Group - Hospital,1235,Fixed Site,-38.173045,145.928349,41 Landsborough Street,WARRAGUL,3820,"24 hours, 7 days a week"
Western District Health Service - Frances Hewitt Community Centre,1275,Fixed Site,-37.744764,142.021686,2 Roberts Street,HAMILTON,3300,9.00 am and 5.00 pm Monday to Friday
Western District Health Service - Hamilton Base Hospital,1261,Fixed Site,-37.736962,142.030005,20 Foster Street,HAMILTON,3300,At the Hospital at any time
Western Region Alcohol & Drug Centre,1241,Fixed Site,-38.385852,142.478441,172 Merri Street,WARRNAMBOOL,3280,"9am to 5.30pm, Monday to Friday"
Whittlesea Pharmacy,1381,Pharmacy,-37.511864,145.117803,69 Church Street,WHITTLESEA,3757,M-F 8.30am-7pm; Sat 8.30am-1pm; Sun 10.30am-12.30pm
Wimmera Health Care Group,1244,Fixed Site,-36.711856,142.208592,"Emergency Department, Bailie Street",HORSHAM,3400,"24 hours, 7 days a week"
Winchelsea Pharmacy,1550,Pharmacy,-38.243372,143.99022,15 Main Street,WINCHELSEA,3241,M-F 9am-5.30pm; Sat 9am-12noon
Wonthaggi Miners' Friendly Society's Dispensary Ltd,1703,Pharmacy,-38.606645,145.588982,169 Graham Street,WONTHAGGI,3995,M 9am-5:30pm; Tu-F 8:30am-5:30pm; Sa 9am-12noon; Su closed
Woodend Pharmacy,1558,Pharmacy,-37.356666,144.528073,118 High Street,WOODEND,3442,M-F 9am-9pm; Sat 9am-5pm; Sun 10am-4pm; Public hols 10am-1pm
Yarram & District Health Service - Bakers Comm Centre,1249,Fixed Site,-38.55978,146.677093,121 Commercial Road,YARRAM,3971,M-F 9am-4pm
Yarram & District Health Services - Hospital,1250,Fixed Site,-38.556927,146.67772,85-91 Commercial Road,YARRAM,3971,"24 hours, 7 days a week"
Yarram Pharmacy,1584,Pharmacy,-38.562329,146.676535,199 Commercial Road,YARRAM,3971,M-F 8:30am-6pm; Sat 8:30am-12:30pm
Yarrawonga Health,1251,Fixed Site,-36.011199,146.006396,33 Piper Street,YARRAWONGA,3730,"24 hours, 7 days a week"
Yea & District Memorial Hospital,1252,Fixed Site,-37.213763,145.430276,45 Station Street,YEA,3717,"24 hours, 7 days a week"
Your Community Health - Northcote,1068,Fixed Site,-37.769783,145.001349,42 Separation Street,NORTHCOTE,3070,"M-F 9am-8pm, Sat 9am-12noon"
Your Community Health - PANCH,1322,Fixed Site,-37.745433,145.007579,300 Bell Street,PRESTON,3072,"9:00am to 6:00pm, Monday to Friday;"
Your Community Health - Reservoir,1069,Fixed Site,-37.731167,145.029697,"North Eastern AIDS Prevention Program, 125 Blake Street (Cnr Crevelli Street)",RESERVOIR,3073,M-F 9am-5pm
Youth Projects - APHAP Foot Patrol,1254,Foot Patrol,-37.816373,144.968958,"AIDS Prevention and Health Awareness Program, 7-9 Hosier Lane",MELBOURNE,3000,"M-F 12noon-3:15pm, 4pm-6:45pm, 7:30pm-10.45pm; Sa-Su & Pub Hols 12noon-3:45pm, 7:30pm-11:15pm"
Youth Projects - North West Outreach Service,1256,Vehicle Outreach,-37.703042,144.917488,6 Hartington Street,GLENROY,3046,"Offsite: 6pm - 2am, 7 days; Fixed Site: Mon-Fri 9am - 5pm"
