Service Name,Physical Address Line 1,Physical Address Line 2,Physical Address Suburb,Physical Address State,Physical Address Post Code,2018 Aged Care Planning Region (ACPR),Care Type,Residential Places,Home Care Places,Restorative Care Places,Provider Name,Organisation Type,ABS Remoteness,Latitude,Longitude,2018-19 Australian Government Funding
Wintringham - Southern Level 4,372 South Road,,MOORABBIN,VIC,3189,Southern Metro,Home Care,,,,Wintringham,Charitable,Major Cities of Australia,-37.933746,145.0383," $579,230 "
Wintringham Northern EACH,310 Mt Alexander Road,,ASCOT VALE,VIC,3032,Western Metro,Home Care,,,,Wintringham,Charitable,Major Cities of Australia,-37.783222,144.936156," $58,599 "
Wintringham - Northern Level 2,310 Mt Alexander Road,,ASCOT VALE,VIC,3032,Western Metro,Home Care,,,,Wintringham,Charitable,Major Cities of Australia,-37.779802,144.93165," $605,762 "
Wintringham Seddon EACH Dementia,98 Charles Street,,SEDDON,VIC,3011,Western Metro,Home Care,,,,Wintringham,Charitable,Major Cities of Australia,-37.8063073,144.8902144," $499,176 "
Wintringham - Hume Level 2,"Unit 37, 48 Maude Street",,SHEPPARTON,VIC,3630,Hume,Home Care,,,,Wintringham,Charitable,Inner Regional Australia,-36.37156121,145.4015257," $442,079 "
Wintringham - Western Level 4,98 Charles Street,,SEDDON,VIC,3011,Western Metro,Home Care,,,,Wintringham,Charitable,Major Cities of Australia,-37.8063073,144.8902144," $294,889 "
Uniting AgeWell Home Care Packages Western,319 Geelong Road,,KINGSVILLE,VIC,3012,Western Metro,Home Care,,,,The Uniting Church in Australia Property Trust (Victoria),Religious,Major Cities of Australia,-37.807111,144.87764," $2,625,346 "
Bupa Templestowe,222-228 Serpells Road,,TEMPLESTOWE,VIC,3106,Eastern Metro,Residential,142,,,Bupa Aged Care Australia Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.76720883,145.1533983," $8,156,458 "
"At Home Services Feros Care - Barwon-South Western, Victoria","Level 27, 101 Collins Street",,MELBOURNE,VIC,3000,Western Metro,Home Care,,,,Feros Care,Community Based,Major Cities of Australia,-37.814542,144.9705," $347,403 "
At Home Services Feros Care - Loddon-Mallee VIC,101 Collins Street,,MELBOURNE,VIC,3000,Western Metro,Home Care,,,,Feros Care,Community Based,Major Cities of Australia,-37.814541,144.9705," $322,890 "
At Home Services Feros Care - Eastern Metropolitan VIC,"Level 27, 101 Collins Street",,MELBOURNE,VIC,3000,Western Metro,Home Care,,,,Feros Care,Community Based,Major Cities of Australia,-37.814542,144.9705," $1,175,245 "
Bupa Ballarat,305 Smythes Road,,DELACOMBE,VIC,3356,Grampians,Residential,144,,,Bupa Aged Care Australia Pty Ltd,Private Incorporated Body,Inner Regional Australia,-37.59042354,143.8088634," $10,599,383 "
SCC (VIC) - Northern HCP1,2/677 The Boulevard,,EAGLEMONT,VIC,3084,Northern Metro,Home Care,,,,Southern Cross Care (VIC),Religious,Major Cities of Australia,-37.76068,145.070648, n.a.
SCC (VIC) - Barwon HCP3  - CLOSED,"Suite 7, 267 Ryrie Street",,GEELONG,VIC,3220,Barwon-South Western,Home Care,,,,Southern Cross Care (VIC),Religious,Major Cities of Australia,-38.1502697,144.3647487," $1,837 "
Latrobe Home Care Packages - Grampians,81-87 Buckley Street,,MORWELL,VIC,3840,Gippsland,Home Care,,,,Latrobe Community Health Service,State Government,Inner Regional Australia,-38.2358326,146.4000861," $900,858 "
SCC (VIC) - Western HCP1,677 The Boulevard,,EAGLEMONT,VIC,3084,Northern Metro,Home Care,,,,Southern Cross Care (VIC),Religious,Major Cities of Australia,-37.76068,145.070648, n.a.
SCC (VIC) - Loddon Mallee HCP1,1 Dunlop Street,,SHEPPARTON,VIC,3630,Hume,Home Care,,,,Southern Cross Care (VIC),Religious,Inner Regional Australia,-36.362197,145.404367, n.a.
Latrobe Home Care Packages - Hume,53 Ryley Street,,WANGARATTA,VIC,3677,Hume,Home Care,,,,Latrobe Community Health Service,State Government,Inner Regional Australia,-36.35745028,146.3216848," $1,568,194 "
Camberwell Green,12 Hunter Road,,CAMBERWELL,VIC,3124,Eastern Metro,Residential,46,,,Allity Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.83771279,145.0829588," $1,957,865 "
IPC HEALTH LTD,"Level 1, 399 Melton Highway",,TAYLORS LAKES,VIC,3038,Western Metro,Home Care,,,,IPC Health Ltd,Community Based,Major Cities of Australia,-37.7000966,144.7741088," $2,899,776 "
SCC (VIC) - Hume HCP1,1 Dunlop Street,,SHEPPARTON,VIC,3630,Hume,Home Care,,,,Southern Cross Care (VIC),Religious,Inner Regional Australia,-36.362197,145.404367, n.a.
Templestowe Manor,410-418 Thompsons Road,,TEMPLESTOWE LOWER,VIC,3107,Eastern Metro,Residential,60,,,Allity Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.75830108,145.1141925," $3,013,645 "
Annecto HCP Program Southern Region - Level 2,41-43 Ringwood Street,,RINGWOOD,VIC,3134,Eastern Metro,Home Care,,,,annecto Inc,Charitable,Major Cities of Australia,-37.812089,145.227127," $355,148 "
VincentCare Victoria Consumer Directed Packages - NMR,80 Wheatsheaf Road,,GLENROY,VIC,3046,Northern Metro,Home Care,,,,VincentCare Victoria,Religious,Major Cities of Australia,-37.706405,144.919651," $1,058,201 "
Mercy Place Ballarat,60 Corbett Street,,BALLARAT EAST,VIC,3350,Grampians,Residential,114,,,Mercy Aged and Community Care Ltd,Charitable,Inner Regional Australia,-37.560156,143.873495," $2,491,109 "
Jewish Care Victoria,619 St Kilda Road,,ST KILDA,VIC,3182,Southern Metro,Home Care,,,,Jewish Care (Victoria) Inc,Religious,Major Cities of Australia,-37.852933,144.982152," $2,100,258 "
mecwacare Home Care Packages (Western Metro Region),1287 Malvern Road,,MALVERN,VIC,3144,Southern Metro,Home Care,,,,MECWA,Community Based,Major Cities of Australia,-37.852367,145.036581," $2,359,641 "
mecwacare Home Care Packages (Eastern Metro Region),1287 Malvern Road,,MALVERN,VIC,3144,Southern Metro,Home Care,,,,MECWA,Community Based,Major Cities of Australia,-37.852367,145.036581," $1,555,870 "
mecwacare Home Care Packages (Northern Metro Region),1287 Malvern Road,,MALVERN,VIC,3144,Southern Metro,Home Care,,,,MECWA,Community Based,Major Cities of Australia,-37.852367,145.036581," $1,532,031 "
mecwacare Home Care Packages (Southern Metro Region),4/66-68 Main Street,,PAKENHAM,VIC,3810,Southern Metro,Home Care,,,,MECWA,Community Based,Major Cities of Australia,-38.07633465,145.4806665," $3,776,930 "
Wimmera Community Options,5 Robinson Street,,HORSHAM,VIC,3400,Grampians,Home Care,,,,Grampians Community Health,State Government,Outer Regional Australia,-36.71353471,142.2075514," $209,859 "
Baptcare - Northern HCP 3,"Suite 37, 240 Plenty Road",,BUNDOORA,VIC,3083,Northern Metro,Home Care,,,,Baptcare Ltd,Religious,Major Cities of Australia,-37.68357729,145.0695029," $1,399,150 "
Australian Unity Community Care - Grampians,27/20 Enterprise Drive,University Hill,BUNDOORA,VIC,3083,Northern Metro,Home Care,,,,Australian Unity Retirement Living Management Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.68539315,145.0701196," $427,100 "
Australian Unity Community Care - SMR,77 Tanti Avenue,,MORNINGTON,VIC,3931,Southern Metro,Home Care,,,,Australian Unity Retirement Living Management Pty Ltd,Private Incorporated Body,Major Cities of Australia,-38.22023365,145.0449343," $270,693 "
CCSSCI Western Home Care,"Suite 6, Level 1, MC Square",687 Doncaster Road,DONCASTER,VIC,3108,Eastern Metro,Home Care,,,,Chinese Community Social Services Centre Inc,Community Based,Major Cities of Australia,-37.787213,145.131436," $1,793,699 "
Parkglen Homecare Services,360 Cheltenham Road,,KEYSBOROUGH,VIC,3173,Southern Metro,Home Care,,,,Druids Friendly Society Limited,Publicly Listed Company,Major Cities of Australia,-37.99376454,145.1640045," $3,438,530 "
Baptcare - Hume HCP 3,"Suite 37, 240 Plenty Road",,BUNDOORA,VIC,3083,Northern Metro,Home Care,,,,Baptcare Ltd,Religious,Major Cities of Australia,-37.683701,145.069212," $1,211,883 "
Baptcare - Barwon HCP 3,228-236 Purnell Road,,CORIO,VIC,3214,Barwon-South Western,Home Care,,,,Baptcare Ltd,Religious,Major Cities of Australia,-38.071874,144.341068," $498,629 "
Baptcare - Eastern HCP 1,"Suite 2, 35 Seymour Street",,RINGWOOD,VIC,3134,Eastern Metro,Home Care,,,,Baptcare Ltd,Religious,Major Cities of Australia,-37.81605408,145.2237876," $305,510 "
Baptcare - Gippsland HCP 3,116 George St,,MORWELL,VIC,3840,Gippsland,Home Care,,,,Baptcare Ltd,Religious,Inner Regional,-38.238867,146.398868," $1,135,042 "
Luson The Vue,17 Reserve Road,,GROVEDALE,VIC,3216,Barwon-South Western,Residential,120,,,Luson Aged Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,-38.20496138,144.3422314," $6,982,364 "
Frankston Nursing Home,8-12 Nolan Street,,FRANKSTON,VIC,3199,Southern Metro,Residential,61,,,Merakis Enterprises Pty Ltd,Private Incorporated Body,Major Cities of Australia,-38.14921299,145.1175331," $3,380,340 "
Baptcare The Orchards Community,107 Andersons Creek Road,,DONCASTER EAST,VIC,3109,Eastern Metro,Residential,150,,,Baptcare Ltd,Religious,Major Cities of Australia,-37.76728373,145.169728," $8,523,518 "
At Home Services Feros Care - Northern Metropolitan Victoria,Level 2 / 101 Collins Street,,MELBOURNE,VIC,3000,Western Metro,Home Care,,,,Feros Care,Community Based,Major Cities of Australia,-37.814541,144.9705," $1,008,977 "
Grand Cedar,61-63 High Street Road,,ASHWOOD,VIC,3147,Eastern Metro,Residential,75,,,Newcare Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.8661061,145.0970201," $4,082,195 "
New Service - 2012 - Life Without Barriers (Victoria),"Level 2, 1-7 Langhorne Street",,DANDENONG,VIC,3175,Southern Metro,Home Care,,,,Life Without Barriers,Community Based,Major Cities of Australia,-37.98672305,145.2147225," $173,525 "
Cumberland View Hostel Home Care Packages,123 - 127 Whalley Drive,,WHEELERS HILL,VIC,3150,Eastern Metro,Home Care,,,,Arton Retirement Villages Pty Limited,Private Incorporated Body,Major Cities of Australia,-37.92274395,145.1986479," $874,327 "
CCSSCI Eastern Home Care,"Suite 6, Level 1, MC Square",687 Doncaster Road,DONCASTER,VIC,3108,Eastern Metro,Home Care,,,,Chinese Community Social Services Centre Inc,Community Based,Major Cities of Australia,-37.787213,145.131436," $3,907,033 "
Enrich Living Pty Ltd - VIC East Metro Region,356 Boundary Road,,DINGLEY VILLAGE,VIC,3172,Southern Metro,Home Care,,,,Community Care Services Victoria Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.97706073,145.1113735," $719,540 "
Nextt South East Sydney CDC Program,"Level 9, 417 St Kilda Road",,MELBOURNE,VIC,3004,Western Metro,Home Care,,,,Nexttcare Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.837744,144.976519," $262,336 "
Baptcare Abbey Gardens Community,15 Tarwin Street,,WARRAGUL,VIC,3820,Gippsland,Residential,123,,,Baptcare Ltd,Religious,Inner Regional Australia,-38.15166,145.919329," $5,891,556 "
Mekong Cairnlea Vietnamese Aged Care,3 Cairnlea Drive,,CAIRNLEA,VIC,3023,Western Metro,Residential,60,,,Indochinese Elderly Refugees Association Victoria Inc,Community Based,Major Cities of Australia,-37.752476,144.779532," $3,190,622 "
Royal Freemasons Flora Hill,64 Somerville Street,,BENDIGO,VIC,3550,Loddon-Mallee,Residential,66,,,Royal Freemasons Ltd,Charitable,Inner Regional Australia,-36.77526796,144.2894979," $5,078,443 "
Mount Martha Valley,130 Country Club Drive,,SAFETY BEACH,VIC,3936,Southern Metro,Residential,125,,,Royal Freemasons Ltd,Charitable,Major Cities of Australia,-38.328255,144.985426," $8,070,476 "
Shepparton Villages Home Care & Support Services,9 Batman Avenue,,SHEPPARTON,VIC,3630,Hume,Home Care,,,,Shepparton Retirement Villages Inc,Charitable,Inner Regional Australia,-36.36389362,145.3916584," $788,394 "
Charlton Aged Care,4 Learmonth Street,,CHARLTON,VIC,3525,Loddon-Mallee,Residential,15,,,East Wimmera Health Service,State Government,Outer Regional Australia,-36.27049581,143.351331," $854,155 "
Aurrum Brunswick,17 Egginton Street,,BRUNSWICK WEST,VIC,3055,Northern Metro,Residential,60,,,Aurrum Pty Limited,Private Incorporated Body,Major Cities of Australia,-37.75994119,144.9389694," $3,551,649 "
Weary Dunlop Retirement Village,242 Jells Road,,WHEELERS HILL,VIC,3150,Eastern Metro,Residential,82,,,Ryman Aged Care (Australia) Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.9117172,145.1884847," $4,676,862 "
Care Connect Hume Aboriginal Home Care Packages,399 Wyndham Street,,SHEPPARTON,VIC,3672,Hume,Home Care,,,,Care Connect Ltd,Charitable,Inner Regional Australia,-36.3825901,145.3992757," $181,226 "
Mercy Home & Community Care - Southern Metro CALD,Level 2,12 Shelley Street,RICHMOND,VIC,3121,Northern Metro,Home Care,,,,Mercy Aged and Community Care Ltd,Charitable,Major Cities of Australia,-37.81080824,144.9935088," $128,830 "
Mercy Home & Community Care - Whittlesea,67 Cade Way,,PARKVILLE,VIC,3052,Western Metro,Home Care,,,,Mercy Aged and Community Care Ltd,Charitable,Major Cities of Australia,-37.77732162,144.9399746," $1,026,225 "
Mercy Home & Community Care - Yarra Ranges,259 Jasper Road,,MCKINNON,VIC,3204,Southern Metro,Home Care,,,,Mercy Aged and Community Care Ltd,Charitable,Major Cities of Australia,-37.912036,145.042585," $290,057 "
Nextt Home Care Services - Hume,"Level 9, 417 St Kilda Road",,MELBOURNE,VIC,3004,Western Metro,Home Care,,,,Nexttcare Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.837744,144.976519," $20,356 "
Heathcote Home Care,39 Hospital Street,,HEATHCOTE,VIC,3523,Loddon-Mallee,Home Care,,,,Heathcote Health,State Government,Inner Regional Australia,-36.92560414,144.7097048," $829,370 "
Care Connect - Loddon-Mallee,24 Percy Street,,ECHUCA,VIC,3564,Loddon-Mallee,Home Care,,,,Care Connect Ltd,Charitable,Inner Regional Australia,-36.12513988,144.7497381," $301,255 "
Care Connect - Hume,399 Wyndham Street,,SHEPPARTON,VIC,3632,Hume,Home Care,,,,Care Connect Ltd,Charitable,Inner Regional Australia,-36.3825782,145.3992579," $8,414,006 "
EACH Eastern Metro,46 Warrandyte Road,,RINGWOOD,VIC,3134,Eastern Metro,Home Care,,,,EACH,State Government,Major Cities of Australia,-37.809,145.230779," $2,244,116 "
Villa Maria Community Services Northern Region,190 Benalla Road,,SHEPPARTON,VIC,3564,Hume,Home Care,,,,Villa Maria Catholic Homes Limited,Charitable,Inner Regional Australia,-36.38750001,145.4274956," $80,469 "
Villa Maria Grampians Home Care Packages Program,190 Benalla Road,,SHEPPARTON,VIC,3564,Hume,Home Care,,,,Villa Maria Catholic Homes Limited,Charitable,Inner Regional Australia,-36.38750001,145.4274956," $146,773 "
Villa Maria Gippsland Home Care Packages,Unit 2,4 Stephensons Street,PACKENHAM,VIC,3810,Southern Metro,Home Care,,,,Villa Maria Catholic Homes Limited,Charitable,Major Cities of Australia,-38.07510297,145.4803464," $1,927,145 "
Linkages: Central Highlands Coordinated Community Care,106 Market Street,,BALLARAT,VIC,3350,Grampians,Home Care,,,,Ballarat Health Services,State Government,Inner Regional Australia,-37.557336,143.855731," $1,495,705 "
CGHS - Home Care Package Program,155 Guthridge Parade,,SALE,VIC,3850,Gippsland,Home Care,,,,Central Gippsland Health Service,State Government,Inner Regional Australia,-38.10892045,147.0813899," $734,276 "
Northern Region Home Care Victoria,"Level 2, 818 Whitehorse Road",,BOXHILL,VIC,3128,Eastern Metro,Home Care,,,,Australian Unity Retirement Living Management Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.81720416,145.1159337," $443,154 "
South East Region Homecare,431 Racecourse Road,,MORNINGTON,VIC,3931,Southern Metro,Home Care,,,,Australian Unity Retirement Living Management Pty Ltd,Private Incorporated Body,Major Cities of Australia,-38.23766689,145.0664909," $569,916 "
Annecto Orana Far West Level 4,161-163 Langtree Avenue,,MILDURA,VIC,3502,Loddon-Mallee,Home Care,,,,annecto Inc,Charitable,Outer Regional Australia,-34.1882549,142.1562233," $169,863 "
"HCR - Home Care Packages, Eastern Metropolitan","Unit 5, 312 Waverley Road",,MALVERN EAST,VIC,3145,Southern Metro,Home Care,,,,Argent Nominees Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.877546,145.058244," $23,423,838 "
"HCR - Home Care Packages, Southern Metropolitan",312 Waverley Road,,MALVERN EAST,VIC,3145,Southern Metro,Home Care,,,,Argent Nominees Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.877547,145.058243," $971,257 "
mecwacare Home Care Packages 5 (Southern Metro Region),1287 Malvern Road,,MALVERN,VIC,3144,Southern Metro,Home Care,,,,MECWA,Community Based,Major Cities of Australia,-37.852367,145.036581," $337,270 "
Benetas Home Care Hume,"Shop 6&7, Finborough Crt",69-75 McLennan Street,MOOROOPNA,VIC,3629,Hume,Home Care,,,,Anglican Aged Care Services Group,Religious,Inner Regional Australia,-36.39482663,145.3602938," $634,369 "
Benetas Home Care Gippsland,49-53 Hazelwood Road,,TRARALGON,VIC,3844,Gippsland,Home Care,,,,Anglican Aged Care Services Group,Religious,Inner Regional Australia,-38.210865,146.521642," $366,735 "
Multicultural Aged Care Services Geelong Inc,100 Weddell Road,,NORTH GEELONG,VIC,3125,Barwon-South Western,Home Care,,,,Multicultural Aged Care Services Geelong Inc,Community Based,Major Cities of Australia,-38.12586399,144.347892," $1,048,602 "
MiCare Home Care services SMR,1105 Frankston - Dandenong Road,,CARRUM DOWNS,VIC,3201,Southern Metro,Home Care,,,,MiCare Ltd,Community Based,Major Cities of Australia,-38.09356142,145.1773635," $1,147,204 "
MiCare Home Care Services Gippsland,63 Church Street,,MORWELL,VIC,3840,Gippsland,Home Care,,,,MiCare Ltd,Community Based,Inner Regional Australia,-38.23496,146.399284," $599,312 "
Wintringham - Barwon South West Level 1,35/3 Cranwell Court,,HIGHTON,VIC,3216,Barwon-South Western,Home Care,,,,Wintringham,Charitable,Major Cities of Australia,-38.19485017,144.3188161," $15,045 "
Nextt Home Care Services,"Level 9, 417 St Kilda Road",,MELBOURNE,VIC,3004,Western Metro,Home Care,,,,Nexttcare Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.837744,144.976519," $427,434 "
Wintringham - Hume Level 1,Flat 37,48-60 Maude Street,SHEPPARTON,VIC,3630,Hume,Home Care,,,,Wintringham,Charitable,Inner Regional Australia,-36.37156121,145.4015311," $31,658 "
Wintringham - Northern Level 1,310 Mt. Alexander Road,,ASCOT VALE,VIC,3032,Western Metro,Home Care,,,,Wintringham,Charitable,Major Cities of Australia,-37.779802,144.93165, n.a.
Epping Gardens,25 Willandra Drive,,EPPING,VIC,3076,Northern Metro,Residential,148,,,Heritage Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.647278,145.008823," $3,921,009 "
Wintringham - Inner Southern Level 3,372 South Road,,MOORABBIN,VIC,3189,Southern Metro,Home Care,,,,Wintringham,Charitable,Major Cities of Australia,-37.933746,145.0383," $285,785 "
"The Salvation Army, Adult Services, Southern Home Care Packages",72 Gertrude Street,,FITZROY,VIC,3065,Northern Metro,Home Care,,,,The Salvation Army (Victoria) Property Trust,Religious,Major Cities of Australia,-37.80582013,144.9762548," $609,781 "
Annecto HCP Program Eastern Region - Level 3,41-43 Ringwood Street,,RINGWOOD,VIC,3134,Eastern Metro,Home Care,,,,annecto Inc,Charitable,Major Cities of Australia,-37.812089,145.227127," $602,551 "
RDNS Home Care Packages VIC Western Metro,31 Alma Road,,ST KILDA,VIC,3182,Southern Metro,Home Care,,,,Royal District Nursing Service Limited,Charitable,Major Cities of Australia,-37.86086586,144.985818," $2,411,214 "
RDNS Home Care Packages VIC Northern Metro,31 Alma Road,,ST KILDA,VIC,3182,Southern Metro,Home Care,,,,Royal District Nursing Service Limited,Charitable,Major Cities of Australia,-37.86086586,144.985818," $2,362,895 "
Annecto HCP Program Southern Region - Level 4,41-43 Ringwood Street,,RINGWOOD,VIC,3134,Eastern Metro,Home Care,,,,annecto Inc,Charitable,Major Cities of Australia,-37.812089,145.227127," $972,616 "
RDNS Home Care Packages VIC Eastern Metro,31 Alma Road,,ST KILDA,VIC,3182,Southern Metro,Home Care,,,,Royal District Nursing Service Limited,Charitable,Major Cities of Australia,-37.86086586,144.985818," $918,202 "
"The Salvation Army, Adult Services, Western Home Care Packages",152 Churchill Avenue,,BRAYBROOK,VIC,3019,Western Metro,Home Care,,,,The Salvation Army (Victoria) Property Trust,Religious,Major Cities of Australia,-37.785685,144.853534," $3,049,461 "
"The Salvation Army, Adult Services, Northern Home Care Packages","Level 1, 81 Victoria Crescent",,ABBOTSFORD,VIC,3067,Northern Metro,Home Care,,,,The Salvation Army (Victoria) Property Trust,Religious,Major Cities of Australia,-37.80597956,144.9982634," $1,333,231 "
Villa Maria Catholic Homes Star of the Sea Aged Care Residence,Horseshoe Bend Road,,TORQUAY,VIC,3228,Barwon-South Western,Residential,96,,,Villa Maria Catholic Homes Limited,Charitable,Inner Regional Australia,-38.31392946,144.3384136," $3,682,920 "
Racecourse Grange Residential Care,428-430 Racecourse Road,,MORNINGTON,VIC,3931,Southern Metro,Residential,127,,,Australian Unity Care Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,-38.227748,145.071348," $70,952 "
Royal Freemasons Sale,28 Surkitt Boulevard,,SALE,VIC,3850,Gippsland,Residential,144,,,Royal Freemasons Ltd,Charitable,Inner Regional Australia,-38.078991,147.069231," $6,911,703 "
Royal Freemasons Bendigo,61 Alder Street,,KANGAROO FLAT,VIC,3555,Loddon-Mallee,Residential,144,,,Royal Freemasons Ltd,Charitable,Inner Regional Australia,-36.783889,144.240238," $10,624,428 "
Royal Freemasons Bacchus Marsh,58 Grey Street,,DARLEY,VIC,3340,Grampians,Residential,144,,,Royal Freemasons Ltd,Charitable,Major Cities of Australia,-37.657843,144.432128," $5,954,113 "
Clifton Views,217-241 Queens Parade,,FITZROY NORTH,VIC,3068,Northern Metro,Residential,123,,,TLC Melbourne Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.786501,144.994315," $2,524,551 "
Warralily Gardens,614-620 Torquay Road,,ARMSTRONG CREEK,VIC,3217,Barwon-South Western,Residential,120,,,Western Residential Aged Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,-38.23688,144.334803," $1,908,731 "
At Home Services Feros Care - Western Metro,"Level 27, 101 Collins Street -",,MELBOURNE,VIC,3000,Western Metro,Home Care,,,,Feros Care,Community Based,Major Cities of Australia,-37.814541,144.9705," $382,748 "
At Home Services Feros Care - Grampians,"Level 27, 101 Collins Street",,MELBOURNE,VIC,3000,Western Metro,Home Care,,,,Feros Care,Community Based,Major Cities of Australia,-37.814542,144.9705," $422,439 "
HammondCare Dementia Specific Home Care Services - Western Metro,"Suite 12, Level 1",204-218 Dryburgh Street,NORTH MELBOURNE,VIC,3051,Western Metro,Home Care,,,,HammondCare,Charitable,Major Cities of Australia,-37.79844066,144.944316," $637,917 "
Latrobe Home Care Packages Gippsland Level 1,81-87 Buckley Street,,MORWELL,VIC,3840,Gippsland,Home Care,,,,Latrobe Community Health Service,State Government,Inner Regional Australia,-38.2358326,146.4000861," $65,554 "
HammondCare Dementia Specific Home Care Services - Northern Metro,"Suite 12, Level 1",204-218 Dryburgh Street,NORTH MELBOURNE,VIC,3051,Western Metro,Home Care,,,,HammondCare,Charitable,Major Cities of Australia,-37.79844066,144.944316," $887,325 "
Nellie Melba Retirement Village,2 Collegium Avenue,,WHEELERS HILL,VIC,3150,Eastern Metro,Residential,118,,,Ryman Aged Care (Australia) Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.904889,145.164659," $863,323 "
ACH Group Home Care Metro East VIC,16 Bedford Street,,BOX HILL,VIC,3128,Eastern Metro,Home Care,,,,Aged Care & Housing Group Inc,Charitable,Major Cities of Australia,-37.82786417,145.1330868," $656,314 "
ACH Group Home Care Metro North VIC,16 Bedford Street,,BOX HILL,VIC,3128,Eastern Metro,Home Care,,,,Aged Care & Housing Group Inc,Charitable,Major Cities of Australia,-37.82786417,145.1330868," $124,986 "
ACH Group Home Care Metro South VIC,16 Bedford Street,,BOX HILL,VIC,3128,Eastern Metro,Home Care,,,,Aged Care & Housing Group Inc,Charitable,Major Cities of Australia,-37.82786417,145.1330868," $291,546 "
St Vincent's Care Services Werribee,240 Hoppers Lane,,WERRIBEE,VIC,3030,Western Metro,Residential,80,,,St Vincent's Care Services Ltd.,Religious,Major Cities of Australia,-37.88878413,144.7009273," $5,407,317 "
Home Care Packages - Loddon-Mallee,Suite 26,270 Ferntree Gully Road,NOTTING HILL,VIC,3168,Eastern Metro,Home Care,,,,KinCare Health Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.900072,145.1311391," $335,926 "
SAI Home and Community Care,"Unit 6, 18-22 Beach Street",,FRANKSTON,VIC,3199,Southern Metro,Home Care,,,,Desilva Enterprises Pty Ltd,Private Incorporated Body,Major Cities of Australia,-38.140738,145.123691," $1,087,923 "
Greenview,33-37 Mitcham Road,,DONVALE,VIC,3111,Eastern Metro,Residential,90,,,Allity Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.793446,145.176618," $1,927,258 "
Wintringham - Barwon South West Level 3,35-3 Cranwell Street,,HIGHTON,VIC,3216,Barwon-South Western,Home Care,,,,Wintringham,Charitable,Major Cities of Australia,-38.19545177,144.3176542," $691,627 "
Wintringham - Hume Level 3,"Flat 37, 48-60 Maude Street",,SHEPPARTON,VIC,3630,Hume,Home Care,,,,Wintringham,Charitable,Inner Regional Australia,-36.37156121,145.4015257," $87,585 "
Wintringham - Hume Level 4,"Flat 37, 48-60 Maude Street",,SHEPPARTON,VIC,3630,Hume,Home Care,,,,Wintringham,Charitable,Inner Regional Australia,-36.37156121,145.4015257," $45,923 "
Wintringham - Western Level 3,98 Charles Street,,SEDDON,VIC,3011,Western Metro,Home Care,,,,Wintringham,Charitable,Major Cities of Australia,-37.8063073,144.8902144," $358,726 "
Wintringham - Western Level 1,98 Charles Street,,SEDDON,VIC,3011,Western Metro,Home Care,,,,Wintringham,Charitable,Major Cities of Australia,-37.8063073,144.8902144," $15,045 "
Wintringham - Northern Level 3,310 Ascot Vale Road,,ASCOT VALE,VIC,3032,Western Metro,Home Care,,,,Wintringham,Charitable,Major Cities of Australia,-37.770825,144.924431," $47,881 "
Wintringham - Southern Peninsula Level 3,372 South Road,,MOORABBIN,VIC,3189,Southern Metro,Home Care,,,,Wintringham,Charitable,Major Cities of Australia,-37.933746,145.0383," $318,498 "
Sheridan Hall Caulfield,6-8 Northcote Avenue,,CAULFIELD NORTH,VIC,3161,Southern Metro,Residential,42,,,Sapphire Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.87679609,145.0241238," $2,393,416 "
Alpine - Mount Beauty MPS,2-8 Hollonds Street,,MOUNT BEAUTY,VIC,3699,Hume,Multi-Purpose Service,25,,,Alpine Health,State Government,Inner Regional Australia,-36.743151,147.1692878," $1,324,068 "
Alpine - Bright MPS,26-32 Cobden Street,,BRIGHT,VIC,3741,Hume,Multi-Purpose Service,45,,,Alpine Health,State Government,Outer Regional Australia,-36.73138318,146.9646921," $1,957,419 "
Mallee Track - Sea Lake MPS,33-43 McClelland Avenue,,SEA LAKE,VIC,3533,Loddon-Mallee,Multi-Purpose Service,27,5,,Mallee Track Health and Community Service,State Government,Outer Regional Australia,-35.50088263,142.8577157," $1,391,264 "
Manangatang MPS,37-39 Pioneer Street,,MANANGATANG,VIC,3546,Loddon-Mallee,Multi-Purpose Service,10,,,Robinvale District Health Services,State Government,Outer Regional Australia,-35.05106311,142.8810883," $622,604 "
